"","Name_neighborho","ratioslots"
"21","West Roxbury",2.25818882466281
"8","East Boston",2.10144927536232
"17","South Boston",2.04803493449782
"15","Roslindale",1.98611111111111
"6","Dorchester",1.87113702623907
"10","Hyde Park",1.83912611717974
"13","Mattapan",1.71428571428571
"4","Brighton",1.54752475247525
"11","Jamaica Plain",1.53472740851382
"5","Charlestown",1.49136939010357
"16","Roxbury",1.29036574487065
"19","South End",0.921803127874885
"14","Mission Hill",0.624790619765494
"3","Beacon Hill",0.608040201005025
"20","West End",0.591111111111111
"1","Allston",0.427518427518428
"18","South Boston Waterfront",0.306238185255198
"2","Back Bay",0.292483660130719
"7","Downtown",0.222398309561543
"9","Fenway",0.127551020408163
"12","Longwood",0.124590163934426
