"","Name_neighborho","Neighborho_neighborho","NAMELSAD_tract","GEOID_tract"
"1","Roxbury","16","Census Tract 815","25025081500"
"2","Dorchester","6","Census Tract 1004","25025100400"
"3","Dorchester","6","Census Tract 1006.01","25025100601"
"4","Dorchester","6","Census Tract 914","25025091400"
"5","Roxbury","16","Census Tract 813","25025081300"
"6","Roslindale","15","Census Tract 1104.03","25025110403"
"7","Roxbury","16","Census Tract 820","25025082000"
"8","Hyde Park","10","Census Tract 1403","25025140300"
"9","Mattapan","12","Census Tract 1010.02","25025101002"
"10","Roxbury","16","Census Tract 819","25025081900"
"11","East Boston","8","Census Tract 510","25025051000"
"12","South Boston","17","Census Tract 605.01","25025060501"
"13","Charlestown","4","Census Tract 404.01","25025040401"
"15","Hyde Park","10","Census Tract 1401.05","25025140105"
"17","Jamaica Plain","11","Census Tract 1204","25025120400"
"18","Dorchester","6","Census Tract 1003","25025100300"
"19","Hyde Park","10","Census Tract 1401.02","25025140102"
"20","Mattapan","12","Census Tract 1011.01","25025101101"
"21","Mattapan","12","Census Tract 1011.02","25025101102"
"22","Dorchester","6","Census Tract 917","25025091700"
"23","Dorchester","6","Census Tract 924","25025092400"
"24","Dorchester","6","Census Tract 903","25025090300"
"25","Hyde Park","10","Census Tract 1402.02","25025140202"
"26","Dorchester","6","Census Tract 921.01","25025092101"
"27","Downtown","7","Census Tract 702","25025070200"
"28","Hyde Park","10","Census Tract 1401.07","25025140107"
"29","Charlestown","4","Census Tract 406","25025040600"
"30","Brighton","25","Census Tract 5.03","25025000503"
"32","Roslindale","15","Census Tract 1106.07","25025110607"
"33","Roslindale","15","Census Tract 1102.01","25025110201"
"34","Hyde Park","10","Census Tract 1404","25025140400"
"35","Mattapan","12","Census Tract 1009","25025100900"
"37","Roslindale","15","Census Tract 1103.01","25025110301"
"38","South Boston","17","Census Tract 607","25025060700"
"40","Roslindale","15","Census Tract 1104.01","25025110401"
"41","Dorchester","6","Census Tract 1002","25025100200"
"42","Jamaica Plain","11","Census Tract 1203.01","25025120301"
"44","South End","32","Census Tract 704.02","25025070402"
"46","Dorchester","6","Census Tract 913","25025091300"
"48","Roxbury","16","Census Tract 906","25025090600"
"50","Roxbury","16","Census Tract 821","25025082100"
"57","Dorchester","6","Census Tract 1007","25025100700"
"59","Jamaica Plain","11","Census Tract 1206","25025120600"
"61","East Boston","8","Census Tract 509.01","25025050901"
"65","Jamaica Plain","11","Census Tract 1101.03","25025110103"
"66","Roxbury","16","Census Tract 818","25025081800"
"67","Downtown","7","Census Tract 701.01","25025070101"
"72",NA,NA,"Census Tract 3397","25017339700"
"76","East Boston","8","Census Tract 501.01","25025050101"
"77","Dorchester","6","Census Tract 916","25025091600"
"78","Mattapan","12","Census Tract 1010.01","25025101001"
"82","Roxbury","16","Census Tract 904","25025090400"
"86","Dorchester","6","Census Tract 918","25025091800"
"87","Longwood","28","Census Tract 810.01","25025081001"
"89","Roxbury","16","Census Tract 804.01","25025080401"
"90","Roslindale","15","Census Tract 1105.02","25025110502"
"92","West Roxbury","19","Census Tract 1304.02","25025130402"
"93","West Roxbury","19","Census Tract 1302","25025130200"
"94","West Roxbury","19","Census Tract 1303","25025130300"
"95","Roslindale","15","Census Tract 1401.06","25025140106"
"97","South End","32","Census Tract 707","25025070700"
"98","Jamaica Plain","11","Census Tract 812","25025081200"
"100","Dorchester","6","Census Tract 901","25025090100"
"103","Dorchester","6","Census Tract 923","25025092300"
"106","East Boston","8","Census Tract 505","25025050500"
"107","Dorchester","6","Census Tract 919","25025091900"
"113","South End","32","Census Tract 712.01","25025071201"
"114","Mission Hill","13","Census Tract 808.01","25025080801"
"115","Roxbury","16","Census Tract 803","25025080300"
"119","South Boston Waterfront","29","Census Tract 606","25025060600"
"120","Back Bay","2","Census Tract 107.02","25025010702"
"121","East Boston","8","Census Tract 512","25025051200"
"128","Charlestown","4","Census Tract 408.01","25025040801"
"130","South Boston","17","Census Tract 603.01","25025060301"
"133","Allston","24","Census Tract 7.04","25025000704"
"134","Brighton","25","Census Tract 6.02","25025000602"
"135","South End","32","Census Tract 709","25025070900"
"140","East Boston","8","Census Tract 506","25025050600"
"141","Dorchester","6","Census Tract 920","25025092000"
"145","Dorchester","6","Census Tract 922","25025092200"
"147","West Roxbury","19","Census Tract 1106.01","25025110601"
"153","Roxbury","16","Census Tract 817","25025081700"
"154","Dorchester","6","Census Tract 1005","25025100500"
"157","East Boston","8","Census Tract 507","25025050700"
"158","Jamaica Plain","11","Census Tract 1202.01","25025120201"
"159","Dorchester","6","Census Tract 912","25025091200"
"161","South Boston Waterfront","29","Census Tract 612","25025061200"
"162","Roslindale","15","Census Tract 1105.01","25025110501"
"166","East Boston","8","Census Tract 503","25025050300"
"167","East Boston","8","Census Tract 511.01","25025051101"
"171","Mission Hill","13","Census Tract 809","25025080900"
"177","Dorchester","6","Census Tract 902","25025090200"
"178","Hyde Park","10","Census Tract 1402.01","25025140201"
"182","South Boston","17","Census Tract 608","25025060800"
"185","West Roxbury","19","Census Tract 1301","25025130100"
"187","Mission Hill","13","Census Tract 814","25025081400"
"201","South End","32","Census Tract 705","25025070500"
"207","Dorchester","6","Census Tract 910.01","25025091001"
"209","Roxbury","16","Census Tract 801","25025080100"
"210","Jamaica Plain","11","Census Tract 1205","25025120500"
"214","Brighton","25","Census Tract 1","25025000100"
"219","Mattapan","12","Census Tract 9811","25025981100"
"244","South Boston","17","Census Tract 611.01","25025061101"
"247","Dorchester","6","Census Tract 915","25025091500"
"249","Brighton","25","Census Tract 2.01","25025000201"
"253","Charlestown","4","Census Tract 402","25025040200"
"257","Brighton","25","Census Tract 2.02","25025000202"
"262","West Roxbury","19","Census Tract 1304.06","25025130406"
"267","Jamaica Plain","11","Census Tract 1207","25025120700"
"270","Longwood","28","Census Tract 103","25025010300"
"279","Roxbury","16","Census Tract 805","25025080500"
"281","North End","14","Census Tract 304","25025030400"
"291","Brighton","25","Census Tract 5.04","25025000504"
"303","Dorchester","6","Census Tract 1008","25025100800"
"304","Fenway","34","Census Tract 101.03","25025010103"
"310","Roxbury","16","Census Tract 806.01","25025080601"
"315","East Boston","8","Census Tract 502","25025050200"
"317","Downtown","7","Census Tract 303","25025030300"
"329","Jamaica Plain","11","Census Tract 1201.04","25025120104"
"335","South End","32","Census Tract 703","25025070300"
"355","West End","31","Census Tract 203.03","25025020303"
"361","Back Bay","2","Census Tract 106","25025010600"
"373","Dorchester","6","Census Tract 907","25025090700"
"391","Dorchester","6","Census Tract 1006.03","25025100603"
"393","Allston","24","Census Tract 8.03","25025000803"
"399","Charlestown","4","Census Tract 401","25025040100"
"409","Charlestown","4","Census Tract 403","25025040300"
"410","Dorchester","6","Census Tract 1001","25025100100"
"413","East Boston","8","Census Tract 504","25025050400"
"421","Beacon Hill","30","Census Tract 202","25025020200"
"430","South Boston","17","Census Tract 610","25025061000"
"433","South Boston","17","Census Tract 9812.01","25025981201"
"456","Brighton","25","Census Tract 3.01","25025000301"
"463","Jamaica Plain","11","Census Tract 1201.03","25025120103"
"486","Roxbury","16","Census Tract 711.01","25025071101"
"513","Dorchester","6","Census Tract 909.01","25025090901"
"544","West End","31","Census Tract 203.01","25025020301"
"576","Brighton","25","Census Tract 6.01","25025000601"
"590","Fenway","34","Census Tract 104.05","25025010405"
"607","Allston","24","Census Tract 8.02","25025000802"
"621","Brighton","25","Census Tract 4.01","25025000401"
"632","Fenway","34","Census Tract 104.04","25025010404"
"635","Beacon Hill","30","Census Tract 9817","25025981700"
"656",NA,NA,"Census Tract 3515","25017351500"
"665","Mission Hill","13","Census Tract 811","25025081100"
"677","Brighton","25","Census Tract 4.02","25025000402"
"693","Brighton","25","Census Tract 3.02","25025000302"
"736","Fenway","34","Census Tract 102.04","25025010204"
"764","West Roxbury","19","Census Tract 1304.04","25025130404"
