City,afterschool.no,afterschool.yes,afterschool.unknown,meancapa,Part-Time,PartorFull,Full-Time,duration.fullyear,duration.schoolyear,duration.summer,duration.unknown,ncenters,English,Engl.unknown,Spanish,Span.unknown,French,Fren.unknown,Port,Port.unknown,Chinese,Chin.unknown,Cantonese,Cant.unknown,dropin.no,dropin.yes,dropin.unknown,openholiday.no,openholiday.yes,openholiday.unknown,emergency.no,emergency.yes,emergency.unknown
Allston,3,2,2,44.2857142857143,3,6,5,5,NA,NA,2,7,5,2,2,5,1,6,3,4,2,5,NA,7,4,1,2,5,NA,2,4,1,2
Boston,58,21,21,49.92,52,71,77,74,4,1,21,100,73,27,36,64,6,94,4,96,18,82,21,79,70,9,21,78,1,21,70,10,20
Brighton,16,6,3,31.4,15,18,17,19,3,NA,3,25,21,4,12,13,2,23,1,24,3,22,2,23,20,2,3,22,NA,3,18,3,4
Charlestown,7,4,2,40.9230769230769,9,7,10,10,1,NA,2,13,10,3,10,3,2,11,NA,13,NA,13,2,11,10,1,2,11,NA,2,8,3,2
Dorchester,84,93,26,19.9261083743842,144,88,174,171,5,1,26,203,167,36,111,92,9,194,12,191,NA,203,1,202,165,12,26,171,6,26,151,27,25
East Boston,26,23,6,29.7636363636364,36,29,45,45,3,1,6,55,44,11,47,8,1,54,3,52,NA,55,NA,55,43,6,6,47,2,6,37,12,6
Hyde Park,32,34,8,12.7837837837838,56,26,66,65,1,NA,8,74,64,10,49,25,3,71,NA,74,NA,74,NA,74,62,4,8,64,2,8,59,7,8
Jamaica Plain,27,15,9,24.8039215686275,30,30,42,40,1,1,9,51,37,14,31,20,2,49,1,50,NA,51,1,50,40,2,9,40,2,9,38,4,9
Mattapan,25,14,8,17.9787234042553,29,26,39,39,NA,NA,8,47,37,10,20,27,4,43,NA,47,NA,47,NA,47,34,5,8,38,1,8,30,9,8
Roslindale,34,22,8,17.8125,45,28,55,50,6,NA,8,64,55,9,37,27,3,61,NA,64,NA,64,NA,64,51,5,8,53,2,9,46,10,8
Roxbury,33,25,12,31.0142857142857,49,33,58,53,4,1,12,70,52,18,42,28,7,63,4,66,2,68,1,69,55,3,12,52,6,12,53,5,12
South Boston,8,8,3,29.2105263157895,11,13,14,13,3,NA,3,19,16,3,13,6,NA,19,NA,19,3,16,2,17,16,NA,3,16,NA,3,16,NA,3
West Roxbury,23,4,9,32.5555555555556,21,26,25,22,4,1,9,36,25,11,9,27,2,34,1,35,NA,36,NA,36,26,1,9,25,2,9,22,5,9
